There is the log file : 
2019/10/22  17:24:27 => 62.39.136.157 => POST http://54.38.184.22:9001/demandes/getDemmandTroc.phjs CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:27 => 62.39.136.157 => POST http://54.38.184.22:9001/login/verifConnect.phjs CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:27 => 62.39.136.157 => POST http://54.38.184.22:9001/notifications/listNotifications.phjs CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:27 => 62.39.136.157 => POST http://54.38.184.22:9001/demandes/getDemmandTroc.phjs CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:27 => 62.39.136.157 => POST http://54.38.184.22:9001/notifications/listNotifications.phjs CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:27 => 62.39.136.157 => GET http://54.38.184.22:9001/img/%7B%7Bjouet.id%7D%7D.jpg CODE 404 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 PAGE NOT FOUND
2019/10/22  17:24:27 => 62.39.136.157 => POST http://54.38.184.22:9001/jouets/list.phjs CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:27 => 62.39.136.157 => GET http://54.38.184.22:9001/img/4.jpg CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:27 => 62.39.136.157 => GET http://54.38.184.22:9001/img/5.jpg CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:27 => 62.39.136.157 => GET http://54.38.184.22:9001/img/13.jpg CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:36 => 62.39.136.157 => POST http://54.38.184.22:9001/login/connect.phjs CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:37 => 62.39.136.157 => POST http://54.38.184.22:9001/login/verifConnect.phjs CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:38 => 62.39.136.157 => POST http://54.38.184.22:9001/login/verifConnect.phjs CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:38 => 62.39.136.157 => GET http://54.38.184.22:9001/img/%7B%7Bjouet.id%7D%7D.jpg CODE 404 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 PAGE NOT FOUND
2019/10/22  17:24:38 => 62.39.136.157 => POST http://54.38.184.22:9001/jouets/mesJouets.phjs CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
2019/10/22  17:24:38 => 62.39.136.157 => POST http://54.38.184.22:9001/jouets/listCat.phjs CODE 200 ; Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 
